m_a (scraped), xsec*BR(h->aa->bbmumu) [fb] 
27.51968503937008, 4.766443446905583
28.03937007874016, 6.757583339465732
28.535433070866144, 6.70197218338361
29.007874015748033, 5.160357642210606
29.52755905511811, 6.422525572153944
30.023622047244096, 5.890278902053126
30.496062992125985, 4.6010008094782435
31.03937007874016, 4.657583339465738
31.511811023622048, 4.994473471189927
32.031496062992126, 5.303370373095888
32.55118110236221, 5.556192508646689
33.023622047244096, 6.818316285230701
33.51968503937008, 10.183265876812122
34.01574803149606, 12.959430421664578
34.53543307086614, 10.688888071234082
35.031496062992126, 9.904304952535135
35.52755905511811, 10.269254544116556
36.023622047244096, 7.073456472146582
36.51968503937008, 5.952424755316798
37.01574803149607, 7.97157995437486
37.53543307086614, 9.261785267495767
38.031496062992126, 8.056641401133263
38.52755905511811, 8.842151740378242
39, 12.235116638457573
39.51968503937008, 13.469247185223338
40.01574803149606, 11.030458459047754
40.511811023622045, 7.105688424460965
41.031496062992126, 5.648230186179994
41.527559055118104, 6.069254544116561
42.02362204724409, 7.219250864669952
42.519685039370074, 7.556163073073812
43.01574803149606, 6.687467804842143
43.511811023622045, 5.061763190816087
44.00787401574803, 4.165030539406871
44.503937007874015, 5.202877327249979
45.02362204724409, 7.726727500183969
45.496062992125985, 9.970159687982921
45.99212598425197, 11.400529840312014
46.511811023622045, 10.756155714180586
47.031496062992126, 8.149164765619247
47.527559055118104, 5.093553609537118
48, 4.336985797336077
48.51968503937008, 4.729994848774737
49.01574803149606, 5.5715799543748545
49.511811023622045, 6.749613658105815
50.00787401574803, 6.91830156744426
50.503937007874015, 6.189793215100451
51.02362204724409, 5.7977555375671415
51.496062992125985, 5.0692251085436695
52.01574803149607, 4.59307528147766
52.511811023622045, 5.462697770255353
53.00787401574803, 7.369703436603125
53.52755905511811, 8.295422768415627
54, 7.5388549562145855
54.519685039370074, 5.8010228861579165
54.99212598425197, 4.792118625358746
55.488188976377955, 5.605666347781288
56.00787401574803, 8.2977408197807
56.503937007874015, 10.709419383324736
57.023622047244096, 11.43887703289425
57.496062992125985, 11.018757818824042
58.01574803149606, 10.99120612259916
58.511811023622045, 11.300080947825442
59.031496062992126, 11.83327691515196
59.503937007874015, 10.852410037530355
60, 8.693995143130472
60.51968503937008, 6.591677091765398
60.99212598425197, 6.255670027227893
61.48818897637795, 6.396320553388769
62.00787401574803, 5.527647361836777
62.503937007874015, 4.434653028184549
